"uuid";"id_evolution";"id_voie_provisoire";"cleabs";"numero";"indice_de_repetition";"complement_d_adressage";"commentaire_collecteur";"geometrie";"lien_vers_objet_support";"cle_abs_sga";"ordrefinevol";"cote";"identifiant_adresse_sga";"designation_de_l_entree";"wkt"
"84538e7d8a9d35e3afd0673bfe9bd058";"4094879d3a6b4ae68c572b1a7120312d";"3242f045fe6665f1a8ea286cf41c6ef7";"";"4";"";"";"";"01010000009ECFA63BCBEA1A4166DE308861875841";"";"";"";"";"";"";"POINT(441010.808253521 6430086.12798271)"
"edfb67f0a84cb4d737cd5c8b00c24cd8";"4094879d3a6b4ae68c572b1a7120312d";"3242f045fe6665f1a8ea286cf41c6ef7";"";"6";"";"";"";"01010000003EB819C987EA1A415A58689548875841";"";"";"";"";"";"";"POINT(440993.946387175 6429986.33449372)"
"3b03de527f08be5160b2c8ff6b6204e5";"";"506430acdb8fa6f958e9abc80276f3ff";"";"53";"";"";"";"0101000000EF38AB18BC631941A74032492B855841";"";"";"";"";"";"";"POINT(415983.024090662 6427821.14369217)"
"1be06fb72e2ea11c9545d292b5cfdf9c";"";"506430acdb8fa6f958e9abc80276f3ff";"";"195";"";"";"";"0101000000834596F2F9631941BC35397D10855841";"";"";"";"";"";"";"POINT(415998.486901365 6427713.95661682)"
"1c93d24f247ba539f2428ff2bdb4f98a";"";"9611b3be05eb8e81472b8b9b003d8b36";"";"270";"";"";"";"0101000000817743085DEA1A41C6F95EA973875841";"";"";"";"";"";"";"POINT(440983.258069865 6430158.64642186)"
"fd94e82e9d4f92698562316beaa3c1b3";"";"9611b3be05eb8e81472b8b9b003d8b36";"";"200";"";"";"";"0101000000D4F69A7122EB1A41CF0C031771875841";"";"";"";"";"";"";"POINT(441032.610942704 6430148.35956116)"
"8fb4c8f17e2c29b085448d1137212034";"";"9611b3be05eb8e81472b8b9b003d8b36";"";"82";"";"";"";"0101000000341C8D773AEC1A41DC1D21F664875841";"";"";"";"";"";"";"POINT(441102.61674923 6430099.84577128)"
"31283dc032811c7c40359b05e8cd0753";"";"9611b3be05eb8e81472b8b9b003d8b36";"";"34";"";"";"";"0101000000CC3F5169CFEC1A41F3050EAE64875841";"";"";"";"";"";"";"POINT(441139.852849004 6430098.71960591)"
"8de78aeeb90c6df92e77de6237c11233";"";"d4d02875f93c1d85c001ce75b8afef73";"";"58";"";"";"";"0101000000D26A345710EC1A41BD3F98D27E875841";"";"";"";"";"";"";"POINT(441092.085160894 6430203.29054254)"
"93636f4c268a2b0348f5b55803617839";"76675b028b4e6190be9007967af159c2";"2ff80d61944aa2300a74bf6a059134d9";"";"1";"";"";"";"01010000002AFA8A0A3AE61A41550E1F0671875841";"";"";"";"";"";"";"POINT(440718.510295781 6430148.09564551)"
"acf0db83621d04e113760e3053521ad0";"76675b028b4e6190be9007967af159c2";"2ff80d61944aa2300a74bf6a059134d9";"";"2";"";"";"";"0101000000DE2AD81EAFE51A412B0965ED49875841";"";"";"";"";"";"";"POINT(440683.780121488 6429991.70929174)"
"602b2d7334d373ada26a04c57dc76add";"76675b028b4e6190be9007967af159c2";"2ff80d61944aa2300a74bf6a059134d9";"";"4";"";"";"";"0101000000CC582C1A8DE61A416F881FBB98875841";"";"";"";"";"";"";"POINT(440739.275559795 6430306.92379962)"
"9058f877cbbce50d249dc5a1cf7c4e8f";"0044f9b833a92500fc84f0fe9364918d";"00c220f0f354fa98493c50a7ef024826";"29414430-0bf1-3e38-937d-725e3d1f185d";"500";"";"";"";"0101000000C65D15DFE0F81A41B989089599875841";"TRONROUT0000000002373689";"31937227";"";"";"331740063050000000000000";"";"POINT(441912.217854943 6430310.32864612)"
"05cdebf6fb2a191c2b0be1c519c39ef2";"5014f86c1c589f704c1760e4aa8f7bdf";"6c5e43e2b3d488a86e48062a0bc6da7a";"29414430-0bf1-3e38-937d-725e3d1f185d";"500";"";"";"";"0101000000C65D15DFE0F81A41B989089599875841";"TRONROUT0000000002373689";"31937228";"";"";"331740063050000000000000";"";"POINT(441912.217854943 6430310.32864612)"
"eded9bce26729142dd6c5b880ed00f6e";"ed9efebf955e40dccfe21ef5647dd28a";"162b8da46c330f75ea8136c92caed634";"";"1";"";"";"";"0101000000D4D2443A346219413ED4758BB2845841";"";"31937229";"";"";"33075#03L000100000000000";"";"POINT(415885.056903166 6427338.17906672)"
"96fb0fac613cf703626777edbf7cb22b";"ed9efebf955e40dccfe21ef5647dd28a";"162b8da46c330f75ea8136c92caed634";"";"2";"";"";"";"0101000000D32304F137621941F3B7E9CAB0845841";"";"31937230";"";"";"33075#03L000200000000000";"";"POINT(415885.985367355 6427331.17051505)"
